geo_longitude,geo_latitude,altitude_pressure,climb_rate,gps_altitude,air_speed,flight_track
-12.4952,54.9829,-580.9066,-4.2506,3107.9575,221.6929,10.9369
53.6539,30.3566,6565.813,16.1493,-920.0656,38.4727,317.1208
-80.7304,44.2387,6158.0963,-0.7801,-1287.7323,83.8126,220.1877
20.786,17.4654,11321.8167,9.5402,10969.4723,194.1098,216.1874
-85.3823,32.2703,4594.6961,0.4988,1710.2622,323.4483,312.527
85.6631,12.7662,8998.5013,-8.2757,10871.5813,38.115,234.3316
114.4439,59.8359,3677.0227,14.3939,3822.8456,170.0945,49.0344
-10.5364,33.0699,1218.1181,18.8794,-3531.6281,383.0698,135.0037
42.3638,38.1642,2191.3599,10.9184,2156.5753,18.579,204.5984
168.5911,37.8749,10529.7068,-4.5311,13095.4482,395.8722,105.118
-53.5579,-4.0513,7754.4453,10.6299,9631.745,320.3248,448.2606
-12.0022,47.0236,6450.7409,0.4155,8851.4133,56.0656,243.2847
112.3449,71.5361,3714.3503,-11.1431,3646.3788,293.7205,-27.803
129.8579,3.6885,8102.5971,-6.2916,7969.9381,484.6309,100.3574
21.2951,36.4935,3525.9666,0.2804,2237.0222,261.4276,212.9977
10.5883,31.4659,9040.8669,-6.059,1782.3367,147.0146,143.6951
33.1272,50.0806,1741.5732,-7.6879,8939.9845,168.2053,228.7137
-85.0925,41.9944,5010.6382,2.3446,796.8039,194.489,155.2417
-24.178,47.3434,6038.5937,1.4571,7382.7696,320.3086,228.1288
-60.5652,24.3467,6860.8405,8.7587,8067.2079,89.1462,219.585
-29.1235,17.8561,10196.098,2.1976,5154.9178,248.4992,366.6545
23.1912,40.921,-494.368,11.9508,179.9634,36.8877,92.7494
-13.6992,54.6714,8154.0728,5.6137,9964.1094,202.8473,296.868
43.7479,20.5378,7428.0533,-3.4379,12504.8669,480.2548,164.7439
-14.3707,16.6459,6151.4968,-9.2431,10848.1771,211.3182,102.3844
-43.3103,52.2724,4959.7666,-3.3641,-6930.9704,385.0877,66.1751
-8.2701,41.7081,11956.7752,-6.9942,12113.2984,266.1794,158.2709
33.5367,64.4146,2175.1928,-7.0968,3116.8505,122.205,153.038
20.9701,21.6544,4656.4025,-7.8895,10342.7417,194.8604,29.4436
38.2322,39.7171,-5274.2467,9.7506,8887.0447,397.3154,98.4196
67.2002,38.1621,7921.4335,4.4259,12338.9571,294.6559,369.8676
65.9495,25.7134,8817.3214,8.8239,4773.5617,349.483,321.1147
-149.2732,30.3639,9388.596,5.2922,-1147.7199,253.8361,189.0133
-77.7351,22.0353,6088.8829,2.2631,2930.902,104.8721,280.9407
126.8079,9.4201,5922.6506,-0.3098,15936.8236,350.6664,262.3442
-23.6824,35.3363,2789.1718,3.6782,8438.4039,424.2789,67.2638
7.6954,16.425,10691.9511,-3.7845,9235.419,351.5411,275.1524
-21.6194,46.4642,-1927.0826,1.9309,1037.1937,479.3132,213.9047
24.5076,41.696,4915.4055,0.8191,6441.6028,186.3786,153.7547
-29.7179,11.0626,9006.7699,-0.0191,12344.931,486.3037,113.7017
63.5237,42.8983,3306.2021,-7.5774,11414.8411,384.2773,281.7075
-57.6004,58.6594,7763.4103,-0.9057,10050.4854,286.7679,61.0088
-82.51,55.6488,7291.9201,2.9363,1275.9772,145.2901,71.9169
-5.8105,17.2113,4174.4562,-0.8793,8034.9163,319.2822,208.8279
-48.4325,10.7523,10041.5155,1.7504,1093.8144,485.4881,366.9582
150.485,16.2727,4820.8863,-11.6155,4667.1955,59.8849,226.1146
42.1091,69.4,5430.29,-0.0454,1288.5957,336.9378,251.0909
94.2517,65.616,-381.9989,2.1763,2561.6029,34.3057,238.1438
45.0441,-12.5634,5868.8515,1.0789,13602.08,270.1825,224.8812
27.0253,28.3294,13233.982,7.1572,4726.3087,5.0874,232.3027
-69.8775,-0.1394,5388.9976,3.2791,5005.912,266.9439,292.7937
-118.0418,30.2636,13525.266,1.2017,6067.8445,193.1972,131.8693
-13.4723,26.4234,4035.4046,4.0401,-1905.4791,73.0519,173.5108
-56.8821,52.7261,13491.8403,4.0295,5279.2947,300.5202,269.5946
55.3665,59.6547,931.3863,2.9378,6955.0027,320.3837,267.9773
57.4966,44.6708,6373.5866,-5.1508,1628.6587,251.763,357.7814
22.4101,0.8454,9843.6408,-0.2174,7100.9342,334.9883,311.8553
-82.1949,7.0317,7873.0561,9.4683,10550.58,333.4322,376.2342
60.1152,18.0666,-102.8904,-5.5041,10811.4531,455.2095,7.2055
-20.0308,31.0669,9014.9919,-2.9712,1992.1565,423.987,328.3368
24.8699,37.4052,1552.2382,6.444,1496.9765,161.6947,137.1127
159.781,26.772,12596.377,-10.0965,5255.0027,463.2392,176.9003
62.0852,39.7811,8567.2556,5.8187,3484.4141,320.8791,192.2889
24.3767,18.9322,3577.6536,2.728,298.9846,302.5252,158.4942
-78.6725,52.768,1485.2657,-9.1888,6356.5343,145.3555,293.8097
-119.2456,61.7569,4862.04,2.7468,2731.4084,361.7123,181.4741
-61.5699,34.9536,3292.3552,-6.6939,7210.3039,369.2899,219.8067
109.1076,3.3035,4285.5404,5.2507,6493.7986,438.7536,68.9394
153.1036,53.84,6344.4268,2.1852,2238.2235,279.7821,11.5635
75.8697,28.2789,4952.9045,-2.4556,7766.0667,101.8117,231.3764
-17.4035,19.8221,3735.4966,0.6591,9007.2896,270.4709,163.3358
13.4863,68.8076,12464.5757,-6.5343,3303.1217,502.1861,204.9635
-2.2477,68.6443,7811.9843,10.798,3789.1121,203.2544,116.5876
-13.7047,45.9273,11899.2816,-16.6939,-3211.8153,95.1602,120.2864
-6.2576,2.7706,-1951.7716,-11.2089,-2760.124,359.2025,182.9818
-24.423,39.5547,5064.6436,-19.6677,11204.2281,251.4784,220.3583
27.4191,28.7045,1041.0471,0.8368,-2402.4933,411.3152,135.5251
